composer,date_of_birth,birth_town,birth_country,date_of_death,death_town,death_country,nationality
Karl Friedrich Abel,1723.0,CÃ¶then,Germany,1787.0,London,England,Germany
Lodovico Agostini,1534.0,Ferrara,Italy,1590.0,Ferrara,,Italy
Giovanni Giacopo  Albuzio,,Kleve,Germany,1536.0,,,Italy
Richard Allison,1565.0,,England,1610.0,,England,England
Serafino Aquilano,1466.0,L'Aquila,Italy,1500.0,Rome,Italy,Italy
Thomas Arne,1710.0,London,England,1778.0,London,England,England
Robert Askue,,,,,,,England
John Attey,1590.0,,England,1640.0,Ross,,England
Filippo Azzaiolo,1530.0,Bologna,Italy,1569.0,Bologna,,Italy
Daniel Bacheler,1572.0,Aston Clinton,England,1619.0,Kent,England,England
Valentin Bakfark,1528.0,Brasov,,1576.0,Padua,Italy,Hungary
Robert Ballard,1575.0,Paris,France,1650.0,Paris,,France
Giulio Cesare Barbetta,1540.0,Padua,Italy,1603.0,,,Italy
Ernst Gottlieb Baron,1696.0,Breslau,Germany,1760.0,Berlin,Germany,Germany
John Bartlet,1605.0,,England,1610.0,,,England
William Basse,1583.0,,England,1653.0,,,England
Mr. Beck,,,,,,,
Jacquet de Berchem,1505.0,Berchem,Belgium,1565.0,Monopoli,Italy,Belgium
Gilles Binchois,1400.0,Mons,Belgium,1460.0,Soignies,Belgium,Belgium
John Blow,1649.0,Newark-on-Trent,England,1708.0,London,England,England
Charles Bocquet,,,,1570.0,,,France
Antoine Boësset,1586.0,Blois,France,1643.0,Paris,France,France
Ann Boleyn,1501.0,Kent,England,1536.0,London,England,England
Pietro Paulo Borrono,1490.0,Milano,Italy,1563.0,Milano,Italy,Italy
Pierre Phalèse,,,,,,,France
Johann Georg Braun,1630.0,Ubthal,Czech Republic,1675.0,Cheb,Czech Republic,Czech Republic
Brewster,,,,,,,England
Baruch Bulman,,,England,1600.0,,,England
Antoine Busnois,1430.0,Busnes,France,1492.0,Brugge,Belgium,France
Dietrich Buxtehude,1637.0,Oldesloe,Denmark,1707.0,LÃ¼beck,Germany,Denmark
William Byrd,1543.0,London,England,1623.0,Stondon Massey,England,England
Francis Cutting,1583.0,London,England,1623.0,London,,England
Antonio de Cabezón,1510.0,Castrillo de Matajudios,Spain,1566.0,Madrid,Spain,Spain
Giulio Caccini,1545.0,Tivoli,Italy,1618.0,Firenze,Italy,Italy
Antonio Caldara,1670.0,Venezia,Italy,1736.0,Wien,Austria,Italy
Franciscus Bossinensis,,,,,,,Italy
Marchetto Cara,1470.0,Verona,Italy,1525.0,Mantova,Italy,Italy
Firmin Caron,,,,,,,France
Fabritio Caroso,1527.0,Sermoneta,Italy,1605.0,,,Italy
Marco Caroso,,,,,,,Italy
Dario Castello,1590.0,Venice,Italy,1630.0,,Italy,Italy
Francesco Cavalli,1602.0,Crema,Italy,1676.0,Venezia,Italy,Italy
Michael Cavendish,1565.0,,England,1628.0,London,,England
Jehan Chardavoine,1537.0,Beaufort-en-Anjou,France,1580.0,Paris,France,France
Johannes Ciconia,1335.0,LiÃ¨ge,Belgium,1411.0,Padova,Italy,Belgium
Cipriano de Rore,1515.0,Ronse,Belgium,1565.0,Parma,Italy,Belgium
S. Coleman,,,,,,,
John Coprario,1575.0,,England,1626.0,London,England,England
Arcangelo Corelli,1653.0,Fusignano,Italy,1713.0,Roma,Italy,Italy
William Cornysh,1465.0,Greenwich,England,1523.0,Kent,England,England
Guillaume Costeley,1530.0,Fontanges,,1606.0,Evreux,,France
François Couperin,1759.0,,,1826.0,,,France
Chiara Margarita Cozzolani,1602.0,Milano,Italy,1678.0,Milano,Italy,Italy
Thomas Crécquillon,1490.0,,,1557.0,,Belgium,Belgium
Giovanni Battista Dalla Gostena,1540.0,Genoa,Italy,1598.0,Genoa,,Italy
Johann Friedrich Daube,1730.0,Marburg,Germany,1797.0,Wien,Austria,Germany
